Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,Grass,Grass,Road,Road,Road,Grass,Grass,Tree,Wall,Grass,Grass,Grass,Grass,Grass,Wall
Wall,Grass,Swamp,Road,PotholeRoad,Road,Grass,Tree,Tree,Wall,Grass,Water,Water,Grass,Grass,Wall
Wall,Grass,Swamp,Road,Road,Road,Water,Water,Grass,Wall,Grass,Water,Water,Grass,Grass,Wall
Wall,Grass,Grass,Grass,Grass,Grass,Water,Water,Grass,Wall,Grass,Grass,Grass,Grass,Grass,Wall
Wall,Grass,Grass,AntiTankSpike,AntiTankSpike,Grass,Grass,Grass,Grass,Wall,Tree,Tree,Grass,Grass,Grass,Wall
Wall,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Wall,Tree,Tree,Grass,Grass,Grass,Wall
Wall,Tree,Grass,Road,Road,Road,Grass,Swamp,Swamp,Wall,Grass,Grass,Grass,Grass,Grass,Wall
Wall,Tree,Grass,Road,PotholeRoad,Road,Grass,Swamp,Grass,Wall,Grass,Grass,PotholeRoad,PotholeRoad,Grass,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
